id,char
15,!
16,""""
17,#
18,$
19,%
20,&
21,'
22,(
23,)
24,*
25,+
26,","
27,-
28,.
29,/
30,0
31,1
32,2
33,3
34,4
35,5
36,6
37,7
38,8
39,9
40,:
41,;
42,<
43,=
44,>
45,?
46,@
47,A
48,B
49,C
50,D
51,E
52,F
53,G
54,H
55,I
56,J
57,K
58,L
59,M
60,N
61,O
62,P
63,Q
64,R
65,S
66,T
67,U
68,V
69,W
70,X
71,Y
72,Z
73,[
74,\
75,]
76,^
77,_
78,`
79,a
80,b
81,c
82,d
83,e
84,f
85,g
86,h
87,i
88,j
89,k
90,l
91,m
92,n
93,o
94,p
95,q
96,r
97,s
98,t
99,u
100,v
101,w
102,x
103,y
104,z
105,{
106,|
107,}
108,~
109,¡
110,¢
111,£
112,¥
113,§
114,©
115,«
116,¬
117,®
118,°
119,±
120,·
121,»
122,¿
800,□
801,▲
802,△
803,▼
804,▽
805,◆
806,◇
807,○
808,◎
809,●
810,◯
811,★
812,☆
813,☉
814,♀
815,♂
816,♠
817,♡
818,♣
819,♥
820,♦
821,♪
822,♭
823,♯
824,✩
825,⟨
826,⟩
827,ⴰ
828,、
829,。
830,〃
831,々
832,〆
833,〇
834,〈
835,〉
836,《
837,》
838,「
839,」
840,『
841,』
842,【
843,】
844,〒
845,〔
846,〕
847,〜
848,〝
849,〟
850,〰
851,ぁ
852,あ
853,ぃ
854,い
855,ぅ
856,う
857,ぇ
858,え
859,ぉ
860,お
861,か
862,が
863,き
864,ぎ
865,く
866,ぐ
867,け
868,げ
869,こ
870,ご
871,さ
872,ざ
873,し
874,じ
875,す
876,ず
877,せ
878,ぜ
879,そ
880,ぞ
881,た
882,だ
883,ち
884,ぢ
885,っ
886,つ
887,づ
888,て
889,で
890,と
891,ど
892,な
893,に
894,ぬ
895,ね
896,の
897,は
898,ば
899,ぱ
900,ひ
901,び
902,ぴ
903,ふ
904,ぶ
905,ぷ
906,へ
907,べ
908,ぺ
909,ほ
910,ぼ
911,ぽ
912,ま
913,み
914,む
915,め
916,も
917,ゃ
918,や
919,ゅ
920,ゆ
921,ょ
922,よ
923,ら
924,り
925,る
926,れ
927,ろ
928,ゎ
929,わ
930,ゐ
931,ゑ
932,を
933,ん
934,゙
935,゚
936,ゝ
937,ゞ
938,゠
939,ァ
940,ア
941,ィ
942,イ
943,ゥ
944,ウ
945,ェ
946,エ
947,ォ
948,オ
949,カ
950,ガ
951,キ
952,ギ
953,ク
954,グ
955,ケ
956,ゲ
957,コ
958,ゴ
959,サ
960,ザ
961,シ
962,ジ
963,ス
964,ズ
965,セ
966,ゼ
967,ソ
968,ゾ
969,タ
970,ダ
971,チ
972,ヂ
973,ッ
974,ツ
975,ヅ
976,テ
977,デ
978,ト
979,ド
980,ナ
981,ニ
982,ヌ
983,ネ
984,ノ
985,ハ
986,バ
987,パ
988,ヒ
989,ビ
990,ピ
991,フ
992,ブ
993,プ
994,ヘ
995,ベ
996,ペ
997,ホ
998,ボ
999,ポ
1000,マ
1001,ミ
1002,ム
1003,メ
1004,モ
1005,ャ
1006,ヤ
1007,ュ
1008,ユ
1009,ョ
1010,ヨ
1011,ラ
1012,リ
1013,ル
1014,レ
1015,ロ
1016,ヮ
1017,ワ
1018,ヰ
1019,ヱ
1020,ヲ
1021,ン
1022,ヴ
1023,ヵ
1024,ヶ
1025,・
1026,ー
1027,㆑
1028,ㇱ
1029,ㇷ
1030,ㇼ
1031,一
1032,丁
1033,七
1034,万
1035,丈
1036,三
1037,上
1038,下
1039,不
1040,与
1041,丑
1042,且
1043,丕
1044,世
1045,丘
1046,丙
1047,东
1048,丞
1049,両
1050,並
1051,个
1052,中
1053,串
1054,丸
1055,丹
1056,主
1057,丼
1058,乂
1059,乃
1060,久
1061,么
1062,之
1063,乍
1064,乎
1065,乏
1066,乐
1067,乖
1068,乗
1069,乘
1070,乙
1071,九
1072,乞
1073,也
1074,乭
1075,乱
1076,乳
1077,乾
1078,亀
1079,了
1080,予
1081,争
1082,事
1083,二
1084,于
1085,云
1086,互
1087,五
1088,井
1089,亘
1090,亙
1091,些
1092,亜
1093,亞
1094,亡
1095,亢
1096,交
1097,亥
1098,亦
1099,亨
1100,享
1101,京
1102,亭
1103,亮
1104,人
1105,什
1106,仁
1107,仄
1108,仇
1109,今
1110,介
1111,仍
1112,仏
1113,仔
1114,仕
1115,他
1116,仗
1117,付
1118,仙
1119,代
1120,令
1121,以
1122,仮
1123,仰
1124,仲
1125,件
1126,价
1127,任
1128,份
1129,企
1130,伊
1131,伍
1132,伎
1133,伏
1134,伐
1135,休
1136,会
1137,伝
1138,伯
1139,伴
1140,伶
1141,伸
1142,伺
1143,似
1144,伽
1145,佃
1146,但
1147,佇
1148,位
1149,低
1150,住
1151,佐
1152,佑
1153,体
1154,何
1155,佗
1156,余
1157,佚
1158,佛
1159,作
1160,佞
1161,佟
1162,你
1163,佩
1164,佬
1165,佰
1166,佳
1167,併
1168,佼
1169,使
1170,侂
1171,侃
1172,來
1173,侈
1174,例
1175,侍
1176,侏
1177,侑
1178,侗
1179,侘
1180,供
1181,依
1182,侠
1183,価
1184,侭
1185,侮
1186,侯
1187,侵
1188,侶
1189,便
1190,俀
1191,係
1192,促
1193,俄
1194,俊
1195,俎
1196,俑
1197,俗
1198,俘
1199,俚
1200,保
1201,俟
1202,俠
1203,信
1204,俣
1205,修
1206,俯
1207,俱
1208,俳
1209,俵
1210,俶
1211,俸
1212,俺
1213,倅
1214,倉
1215,個
1216,倍
1217,們
1218,倒
1219,倖
1220,候
1221,倚
1222,借
1223,倡
1224,倣
1225,値
1226,倦
1227,倧
1228,倩
1229,倪
1230,倫
1231,倭
1232,倶
1233,倹
1234,偃
1235,假
1236,偈
1237,偉
1238,偏
1239,偕
1240,做
1241,停
1242,健
1243,偲
1244,側
1245,偵
1246,偶
1247,偽
1248,傀
1249,傅
1250,傍
1251,傑
1252,傕
1253,傘
1254,備
1255,催
1256,傭
1257,傲
1258,傳
1259,債
1260,傷
1261,傾
1262,僅
1263,僉
1264,僊
1265,働
1266,像
1267,僑
1268,僕
1269,僖
1270,僚
1271,僥
1272,僧
1273,僭
1274,僻
1275,儀
1276,儁
1277,儂
1278,億
1279,儋
1280,儒
1281,儔
1282,儘
1283,儚
1284,償
1285,儡
1286,優
1287,儲
1288,儺
1289,儼
1290,兀
1291,允
1292,元
1293,兄
1294,充
1295,兆
1296,兇
1297,先
1298,光
1299,克
1300,兌
1301,免
1302,兎
1303,児
1304,兒
1305,兗
1306,党
1307,兜
1308,入
1309,內
1310,全
1311,兩
1312,兪
1313,八
1314,公
1315,六
1316,兮
1317,共
1318,兴
1319,兵
1320,其
1321,具
1322,典
1323,兼
1324,冀
1325,内
1326,円
1327,冉
1328,冊
1329,册
1330,再
1331,冏
1332,冑
1333,冒
1334,冕
1335,冗
1336,写
1337,军
1338,冠
1339,冤
1340,冥
1341,冨
1342,冪
1343,冬
1344,冰
1345,冲
1346,决
1347,冴
1348,冶
1349,冷
1350,冼
1351,凄
1352,准
1353,凉
1354,凋
1355,凌
1356,凍
1357,凛
1358,凜
1359,凝
